Master Angle,Arm Angle,Background RSSI,Transmission RSSI
98,0,0,-23.24
99,0,0,-22.3
100,0,0,-21.49
101,0,0,-20.77
102,0,0,-20.13
103,0,0,-19.57
104,0,0,-19.08
105,0,0,-18.64
106,0,0,-18.26
107,0,0,-17.93
108,0,0,-17.65
109,0,0,-17.41
110,0,0,-17.22
111,0,0,-17.07
112,0,0,-16.97
113,0,0,-16.91
114,0,0,-16.9
115,0,0,-16.93
116,0,0,-17.02
117,0,0,-17.17
118,0,0,-17.37
119,0,0,-17.64
120,0,0,-17.99
121,0,0,-18.42
122,0,0,-18.96
123,0,0,-19.62
124,0,0,-20.44
125,0,0,-21.45
126,0,0,-22.74
127,0,0,-24.41
128,0,0,-26.69
129,0,0,-30.07
130,0,0,-35.94
131,0,0,-41.15
132,0,0,-32.34
133,0,0,-27.18
134,0,0,-23.74
135,0,0,-21.15
136,0,0,-19.06
137,0,0,-17.3
138,0,0,-15.77
139,0,0,-14.41
140,0,0,-13.2
141,0,0,-12.09
142,0,0,-11.08
143,0,0,-10.15
144,0,0,-9.28
145,0,0,-8.47
146,0,0,-7.72
147,0,0,-7.01
148,0,0,-6.34
149,0,0,-5.71
150,0,0,-5.11
151,0,0,-4.55
152,0,0,-4.02
153,0,0,-3.52
154,0,0,-3.04
155,0,0,-2.59
156,0,0,-2.16
157,0,0,-1.76
158,0,0,-1.38
159,0,0,-1.01
160,0,0,-0.67
161,0,0,-0.35
162,0,0,-0.05
163,0,0,0.23
164,0,0,0.5
165,0,0,0.74
166,0,0,0.97
167,0,0,1.18
168,0,0,1.38
169,0,0,1.56
170,0,0,1.72
171,0,0,1.87
172,0,0,2
173,0,0,2.11
174,0,0,2.21
175,0,0,2.3
176,0,0,2.37
177,0,0,2.42
178,0,0,2.46
179,0,0,2.48
-180,0,0,2.49
-179,0,0,2.48
-178,0,0,2.46
-177,0,0,2.42
-176,0,0,2.37
-175,0,0,2.3
-174,0,0,2.21
-173,0,0,2.11
-172,0,0,2
-171,0,0,1.87
-170,0,0,1.72
-169,0,0,1.56
-168,0,0,1.38
-167,0,0,1.18
-166,0,0,0.97
-165,0,0,0.74
-164,0,0,0.5
-163,0,0,0.23
-162,0,0,-0.05
-161,0,0,-0.35
-160,0,0,-0.67
-159,0,0,-1.01
-158,0,0,-1.38
-157,0,0,-1.76
-156,0,0,-2.16
-155,0,0,-2.59
-154,0,0,-3.04
-153,0,0,-3.52
-152,0,0,-4.02
-151,0,0,-4.55
-150,0,0,-5.11
-149,0,0,-5.71
-148,0,0,-6.34
-147,0,0,-7.01
-146,0,0,-7.72
-145,0,0,-8.47
-144,0,0,-9.28
-143,0,0,-10.15
-142,0,0,-11.08
-141,0,0,-12.09
-140,0,0,-13.2
-139,0,0,-14.41
-138,0,0,-15.77
-137,0,0,-17.3
-136,0,0,-19.06
-135,0,0,-21.15
-134,0,0,-23.74
-133,0,0,-27.18
-132,0,0,-32.34
-131,0,0,-41.15
-130,0,0,-35.94
-129,0,0,-30.07
-128,0,0,-26.69
-127,0,0,-24.41
-126,0,0,-22.74
-125,0,0,-21.45
-124,0,0,-20.44
-123,0,0,-19.62
-122,0,0,-18.96
-121,0,0,-18.42
-120,0,0,-17.99
-119,0,0,-17.64
-118,0,0,-17.37
-117,0,0,-17.17
-116,0,0,-17.02
-115,0,0,-16.93
-114,0,0,-16.9
-113,0,0,-16.91
-112,0,0,-16.97
-111,0,0,-17.07
-110,0,0,-17.22
-109,0,0,-17.41
-108,0,0,-17.65
-107,0,0,-17.93
-106,0,0,-18.26
-105,0,0,-18.64
-104,0,0,-19.08
-103,0,0,-19.57
-102,0,0,-20.13
-101,0,0,-20.77
-100,0,0,-21.49
-99,0,0,-22.3
-98,0,0,-23.24
-97,0,0,-24.33
-96,0,0,-25.6
-95,0,0,-27.13
-94,0,0,-29.03
-93,0,0,-31.49
-92,0,0,-34.99
-91,0,0,-41
-90,0,0,-45
-89,0,0,-41
-88,0,0,-34.99
-87,0,0,-31.49
-86,0,0,-29.03
-85,0,0,-27.13
-84,0,0,-25.6
-83,0,0,-24.33
-82,0,0,-23.24
-81,0,0,-22.3
-80,0,0,-21.49
-79,0,0,-20.77
-78,0,0,-20.13
-77,0,0,-19.57
-76,0,0,-19.08
-75,0,0,-18.64
-74,0,0,-18.26
-73,0,0,-17.93
-72,0,0,-17.65
-71,0,0,-17.41
-70,0,0,-17.22
-69,0,0,-17.07
-68,0,0,-16.97
-67,0,0,-16.91
-66,0,0,-16.9
-65,0,0,-16.93
-64,0,0,-17.02
-63,0,0,-17.17
-62,0,0,-17.37
-61,0,0,-17.64
-60,0,0,-17.99
-59,0,0,-18.42
-58,0,0,-18.96
-57,0,0,-19.62
-56,0,0,-20.44
-55,0,0,-21.45
-54,0,0,-22.74
-53,0,0,-24.41
-52,0,0,-26.69
-51,0,0,-30.07
-50,0,0,-35.94
-49,0,0,-41.15
-48,0,0,-32.34
-47,0,0,-27.18
-46,0,0,-23.74
-45,0,0,-21.15
-44,0,0,-19.06
-43,0,0,-17.3
-42,0,0,-15.77
-41,0,0,-14.41
-40,0,0,-13.2
-39,0,0,-12.09
-38,0,0,-11.08
-37,0,0,-10.15
-36,0,0,-9.28
-35,0,0,-8.47
-34,0,0,-7.72
-33,0,0,-7.01
-32,0,0,-6.34
-31,0,0,-5.71
-30,0,0,-5.11
-29,0,0,-4.55
-28,0,0,-4.02
-27,0,0,-3.52
-26,0,0,-3.04
-25,0,0,-2.59
-24,0,0,-2.16
-23,0,0,-1.76
-22,0,0,-1.38
-21,0,0,-1.01
-20,0,0,-0.67
-19,0,0,-0.35
-18,0,0,-0.05
-17,0,0,0.23
-16,0,0,0.5
-15,0,0,0.74
-14,0,0,0.97
-13,0,0,1.18
-12,0,0,1.38
-11,0,0,1.56
-10,0,0,1.72
-9,0,0,1.87
-8,0,0,2
-7,0,0,2.11
-6,0,0,2.21
-5,0,0,2.3
-4,0,0,2.37
-3,0,0,2.42
-2,0,0,2.46
-1,0,0,2.48
0,0,0,2.49
1,0,0,2.48
2,0,0,2.46
3,0,0,2.42
4,0,0,2.37
5,0,0,2.3
6,0,0,2.21
7,0,0,2.11
8,0,0,2
9,0,0,1.87
10,0,0,1.72
11,0,0,1.56
12,0,0,1.38
13,0,0,1.18
14,0,0,0.97
15,0,0,0.74
16,0,0,0.5
17,0,0,0.23
18,0,0,-0.05
19,0,0,-0.35
20,0,0,-0.67
21,0,0,-1.01
22,0,0,-1.38
23,0,0,-1.76
24,0,0,-2.16
25,0,0,-2.59
26,0,0,-3.04
27,0,0,-3.52
28,0,0,-4.02
29,0,0,-4.55
30,0,0,-5.11
31,0,0,-5.71
32,0,0,-6.34
33,0,0,-7.01
34,0,0,-7.72
35,0,0,-8.47
36,0,0,-9.28
37,0,0,-10.15
38,0,0,-11.08
39,0,0,-12.09
40,0,0,-13.2
41,0,0,-14.41
42,0,0,-15.77
43,0,0,-17.3
44,0,0,-19.06
45,0,0,-21.15
46,0,0,-23.74
47,0,0,-27.18
48,0,0,-32.34
49,0,0,-41.15
50,0,0,-35.94
51,0,0,-30.07
52,0,0,-26.69
53,0,0,-24.41
54,0,0,-22.74
55,0,0,-21.45
56,0,0,-20.44
57,0,0,-19.62
58,0,0,-18.96
59,0,0,-18.42
60,0,0,-17.99
61,0,0,-17.64
62,0,0,-17.37
63,0,0,-17.17
64,0,0,-17.02
65,0,0,-16.93
66,0,0,-16.9
67,0,0,-16.91
68,0,0,-16.97
69,0,0,-17.07
70,0,0,-17.22
71,0,0,-17.41
72,0,0,-17.65
73,0,0,-17.93
74,0,0,-18.26
75,0,0,-18.64
76,0,0,-19.08
77,0,0,-19.57
78,0,0,-20.13
79,0,0,-20.77
80,0,0,-21.49
81,0,0,-22.3
82,0,0,-23.24
83,0,0,-24.33
84,0,0,-25.6
85,0,0,-27.13
86,0,0,-29.03
87,0,0,-31.49
88,0,0,-34.99
89,0,0,-41
90,0,0,-45
91,0,0,-40.99
92,0,0,-34.99
93,0,0,-31.49
94,0,0,-29.03
95,0,0,-27.13
96,0,0,-25.6
97,0,0,-24.33
98,0,0,-23.24
99,0,0,-22.3
100,0,0,-21.49
101,0,0,-20.77
102,0,0,-20.13
103,0,0,-19.57
104,0,0,-19.08
105,0,0,-18.64
106,0,0,-18.26
107,0,0,-17.93
108,0,0,-17.65
109,0,0,-17.41
110,0,0,-17.22
111,0,0,-17.07
112,0,0,-16.97
113,0,0,-16.91
114,0,0,-16.9
115,0,0,-16.93
116,0,0,-17.02
117,0,0,-17.17
118,0,0,-17.37
119,0,0,-17.64
120,0,0,-17.99
121,0,0,-18.42
122,0,0,-18.96
123,0,0,-19.62
124,0,0,-20.44
125,0,0,-21.45
126,0,0,-22.74
127,0,0,-24.41
128,0,0,-26.69
129,0,0,-30.07
130,0,0,-35.94
131,0,0,-41.15
132,0,0,-32.34
133,0,0,-27.18
134,0,0,-23.74
135,0,0,-21.15
136,0,0,-19.06
137,0,0,-17.3
138,0,0,-15.77
139,0,0,-14.41
140,0,0,-13.2
141,0,0,-12.09
142,0,0,-11.08
143,0,0,-10.15
144,0,0,-9.28
145,0,0,-8.47
146,0,0,-7.72
147,0,0,-7.01
148,0,0,-6.34
149,0,0,-5.71
150,0,0,-5.11
151,0,0,-4.55
152,0,0,-4.02
153,0,0,-3.52
154,0,0,-3.04
155,0,0,-2.59
156,0,0,-2.16
157,0,0,-1.76
158,0,0,-1.38
159,0,0,-1.01
160,0,0,-0.67
161,0,0,-0.35
162,0,0,-0.05
163,0,0,0.23
164,0,0,0.5
165,0,0,0.74
166,0,0,0.97
167,0,0,1.18
168,0,0,1.38
169,0,0,1.56
170,0,0,1.72
171,0,0,1.87
172,0,0,2
173,0,0,2.11
174,0,0,2.21
175,0,0,2.3
176,0,0,2.37
177,0,0,2.42
178,0,0,2.46
179,0,0,2.48
-180,0,0,2.49
-179,0,0,2.48
-178,0,0,2.46
-177,0,0,2.42
-176,0,0,2.37
-175,0,0,2.3
-174,0,0,2.21
-173,0,0,2.11
-172,0,0,2
-171,0,0,1.87
-170,0,0,1.72
-169,0,0,1.56
-168,0,0,1.38
-167,0,0,1.18
-166,0,0,0.97
-165,0,0,0.74
-164,0,0,0.5
-163,0,0,0.23
-162,0,0,-0.05
-161,0,0,-0.35
-160,0,0,-0.67
-159,0,0,-1.01
-158,0,0,-1.38
-157,0,0,-1.76
-156,0,0,-2.16
-155,0,0,-2.59
-154,0,0,-3.04
-153,0,0,-3.52
-152,0,0,-4.02
-151,0,0,-4.55
-150,0,0,-5.11
-149,0,0,-5.71
-148,0,0,-6.34
-147,0,0,-7.01
-146,0,0,-7.72
-145,0,0,-8.47
-144,0,0,-9.28
-143,0,0,-10.15
-142,0,0,-11.08
-141,0,0,-12.09
-140,0,0,-13.2
-139,0,0,-14.41
-138,0,0,-15.77
-137,0,0,-17.3
-136,0,0,-19.06
-135,0,0,-21.15
-134,0,0,-23.74
-133,0,0,-27.18
-132,0,0,-32.34
-131,0,0,-41.15
-130,0,0,-35.94
-129,0,0,-30.07
-128,0,0,-26.69
-127,0,0,-24.41
-126,0,0,-22.74
-125,0,0,-21.45
-124,0,0,-20.44
-123,0,0,-19.62
-122,0,0,-18.96
-121,0,0,-18.42
-120,0,0,-17.99
-119,0,0,-17.64
-118,0,0,-17.37
-117,0,0,-17.17
-116,0,0,-17.02
-115,0,0,-16.93
-114,0,0,-16.9
-113,0,0,-16.91
-112,0,0,-16.97
-111,0,0,-17.07
-110,0,0,-17.22
-109,0,0,-17.41
-108,0,0,-17.65
-107,0,0,-17.93
-106,0,0,-18.26
-105,0,0,-18.64
-104,0,0,-19.08
-103,0,0,-19.57
-102,0,0,-20.13
-101,0,0,-20.77
-100,0,0,-21.49
-99,0,0,-22.3
-98,0,0,-23.24
-97,0,0,-24.33
-96,0,0,-25.6
-95,0,0,-27.13
-94,0,0,-29.03
-93,0,0,-31.49
-92,0,0,-34.99
-91,0,0,-41
-90,0,0,-45
-89,0,0,-41
-88,0,0,-34.99
-87,0,0,-31.49
-86,0,0,-29.03
-85,0,0,-27.13
-84,0,0,-25.6
-83,0,0,-24.33
-82,0,0,-23.24
-81,0,0,-22.3
-80,0,0,-21.49
-79,0,0,-20.77
-78,0,0,-20.13
-77,0,0,-19.57
-76,0,0,-19.08
-75,0,0,-18.64
-74,0,0,-18.26
-73,0,0,-17.93
-72,0,0,-17.65
-71,0,0,-17.41
-70,0,0,-17.22
-69,0,0,-17.07
-68,0,0,-16.97
-67,0,0,-16.91
-66,0,0,-16.9
-65,0,0,-16.93
-64,0,0,-17.02
-63,0,0,-17.17
-62,0,0,-17.37
-61,0,0,-17.64
-60,0,0,-17.99
-59,0,0,-18.42
-58,0,0,-18.96
-57,0,0,-19.62
-56,0,0,-20.44
-55,0,0,-21.45
-54,0,0,-22.74
-53,0,0,-24.41
-52,0,0,-26.69
-51,0,0,-30.07
-50,0,0,-35.94
-49,0,0,-41.15
-48,0,0,-32.34
-47,0,0,-27.18
-46,0,0,-23.74
-45,0,0,-21.15
-44,0,0,-19.06
-43,0,0,-17.3
-42,0,0,-15.77
-41,0,0,-14.41
-40,0,0,-13.2
-39,0,0,-12.09
-38,0,0,-11.08
-37,0,0,-10.15
-36,0,0,-9.28
-35,0,0,-8.47
-34,0,0,-7.72
-33,0,0,-7.01
-32,0,0,-6.34
-31,0,0,-5.71
-30,0,0,-5.11
-29,0,0,-4.55
-28,0,0,-4.02
-27,0,0,-3.52
-26,0,0,-3.04
-25,0,0,-2.59
-24,0,0,-2.16
-23,0,0,-1.76
-22,0,0,-1.38
-21,0,0,-1.01
-20,0,0,-0.67
-19,0,0,-0.35
-18,0,0,-0.05
-17,0,0,0.23
-16,0,0,0.5
-15,0,0,0.74
-14,0,0,0.97
-13,0,0,1.18
-12,0,0,1.38
-11,0,0,1.56
-10,0,0,1.72
-9,0,0,1.87
-8,0,0,2
-7,0,0,2.11
-6,0,0,2.21
-5,0,0,2.3
-4,0,0,2.37
-3,0,0,2.42
-2,0,0,2.46
-1,0,0,2.48
0,0,0,2.49
1,0,0,2.48
2,0,0,2.46
3,0,0,2.42
4,0,0,2.37
5,0,0,2.3
6,0,0,2.21
7,0,0,2.11
8,0,0,2
9,0,0,1.87
10,0,0,1.72
11,0,0,1.56
12,0,0,1.38
13,0,0,1.18
14,0,0,0.97
15,0,0,0.74
16,0,0,0.5
17,0,0,0.23
18,0,0,-0.05
19,0,0,-0.35
20,0,0,-0.67
21,0,0,-1.01
22,0,0,-1.38
23,0,0,-1.76
24,0,0,-2.16
25,0,0,-2.59
26,0,0,-3.04
27,0,0,-3.52
28,0,0,-4.02
29,0,0,-4.55
30,0,0,-5.11
31,0,0,-5.71
32,0,0,-6.34
33,0,0,-7.01
34,0,0,-7.72
35,0,0,-8.47
36,0,0,-9.28
37,0,0,-10.15
38,0,0,-11.08
39,0,0,-12.09
40,0,0,-13.2
41,0,0,-14.41
42,0,0,-15.77
43,0,0,-17.3
44,0,0,-19.06
45,0,0,-21.15
46,0,0,-23.74
47,0,0,-27.18
48,0,0,-32.34
49,0,0,-41.15
50,0,0,-35.94
51,0,0,-30.07
52,0,0,-26.69
53,0,0,-24.41
54,0,0,-22.74
55,0,0,-21.45
56,0,0,-20.44
57,0,0,-19.62
58,0,0,-18.96
59,0,0,-18.42
60,0,0,-17.99
61,0,0,-17.64
62,0,0,-17.37
63,0,0,-17.17
64,0,0,-17.02
65,0,0,-16.93
66,0,0,-16.9
67,0,0,-16.91
68,0,0,-16.97
69,0,0,-17.07
70,0,0,-17.22
71,0,0,-17.41
72,0,0,-17.65
73,0,0,-17.93
74,0,0,-18.26
75,0,0,-18.64
76,0,0,-19.08
77,0,0,-19.57
78,0,0,-20.13
79,0,0,-20.77
80,0,0,-21.49
81,0,0,-22.3
82,0,0,-23.24
83,0,0,-24.33
84,0,0,-25.6
85,0,0,-27.13
86,0,0,-29.03
87,0,0,-31.49
88,0,0,-34.99
89,0,0,-41
90,0,0,-45
91,0,0,-40.99
92,0,0,-34.99
93,0,0,-31.49
94,0,0,-29.03
95,0,0,-27.13
96,0,0,-25.6
97,0,0,-24.33
98,0,0,-23.24
99,0,0,-22.3
100,0,0,-21.49
101,0,0,-20.77
102,0,0,-20.13
103,0,0,-19.57
104,0,0,-19.08
105,0,0,-18.64
106,0,0,-18.26
107,0,0,-17.93
108,0,0,-17.65
109,0,0,-17.41
110,0,0,-17.22
111,0,0,-17.07
112,0,0,-16.97
113,0,0,-16.91
114,0,0,-16.9
115,0,0,-16.93
116,0,0,-17.02
117,0,0,-17.17
118,0,0,-17.37
119,0,0,-17.64
120,0,0,-17.99
121,0,0,-18.42
122,0,0,-18.96
123,0,0,-19.62
124,0,0,-20.44
125,0,0,-21.45
126,0,0,-22.74
127,0,0,-24.41
128,0,0,-26.69
129,0,0,-30.07
130,0,0,-35.94
131,0,0,-41.15
132,0,0,-32.34
133,0,0,-27.18
134,0,0,-23.74
135,0,0,-21.15
136,0,0,-19.06
137,0,0,-17.3
138,0,0,-15.77
139,0,0,-14.41
140,0,0,-13.2
141,0,0,-12.09
142,0,0,-11.08
143,0,0,-10.15
144,0,0,-9.28
145,0,0,-8.47
146,0,0,-7.72
147,0,0,-7.01
148,0,0,-6.34
149,0,0,-5.71
150,0,0,-5.11
151,0,0,-4.55
152,0,0,-4.02
153,0,0,-3.52
154,0,0,-3.04
155,0,0,-2.59
156,0,0,-2.16
157,0,0,-1.76
158,0,0,-1.38
159,0,0,-1.01
160,0,0,-0.67
161,0,0,-0.35
162,0,0,-0.05
163,0,0,0.23
164,0,0,0.5
165,0,0,0.74
166,0,0,0.97
167,0,0,1.18
168,0,0,1.38
169,0,0,1.56
170,0,0,1.72
171,0,0,1.87
172,0,0,2
173,0,0,2.11
174,0,0,2.21
175,0,0,2.3
176,0,0,2.37
177,0,0,2.42
178,0,0,2.46
179,0,0,2.48
-180,0,0,2.49
-179,0,0,2.48
-178,0,0,2.46
-177,0,0,2.42
-176,0,0,2.37
-175,0,0,2.3
-174,0,0,2.21
-173,0,0,2.11
-172,0,0,2
-171,0,0,1.87
-170,0,0,1.72
-169,0,0,1.56
-168,0,0,1.38
-167,0,0,1.18
-166,0,0,0.97
-165,0,0,0.74
-164,0,0,0.5
-163,0,0,0.23
-162,0,0,-0.05
-161,0,0,-0.35
-160,0,0,-0.67
-159,0,0,-1.01
-158,0,0,-1.38
-157,0,0,-1.76
-156,0,0,-2.16
-155,0,0,-2.59
-154,0,0,-3.04
-153,0,0,-3.52
-152,0,0,-4.02
-151,0,0,-4.55
-150,0,0,-5.11
-149,0,0,-5.71
-148,0,0,-6.34
-147,0,0,-7.01
-146,0,0,-7.72
-145,0,0,-8.47
-144,0,0,-9.28
-143,0,0,-10.15
-142,0,0,-11.08
-141,0,0,-12.09
-140,0,0,-13.2
-139,0,0,-14.41
-138,0,0,-15.77
-137,0,0,-17.3
-136,0,0,-19.06
-135,0,0,-21.15
-134,0,0,-23.74
-133,0,0,-27.18
-132,0,0,-32.34
-131,0,0,-41.15
-130,0,0,-35.94
-129,0,0,-30.07
-128,0,0,-26.69
-127,0,0,-24.41
-126,0,0,-22.74
-125,0,0,-21.45
-124,0,0,-20.44
-123,0,0,-19.62
-122,0,0,-18.96
-121,0,0,-18.42
-120,0,0,-17.99
-119,0,0,-17.64
-118,0,0,-17.37
-117,0,0,-17.17
-116,0,0,-17.02
-115,0,0,-16.93
-114,0,0,-16.9
-113,0,0,-16.91
-112,0,0,-16.97
-111,0,0,-17.07
-110,0,0,-17.22
-109,0,0,-17.41
-108,0,0,-17.65
-107,0,0,-17.93
-106,0,0,-18.26
-105,0,0,-18.64
-104,0,0,-19.08
-103,0,0,-19.57
-102,0,0,-20.13
-101,0,0,-20.77
-100,0,0,-21.49
-99,0,0,-22.3
-98,0,0,-23.24
-97,0,0,-24.33
-96,0,0,-25.6
-95,0,0,-27.13
-94,0,0,-29.03
-93,0,0,-31.49
-92,0,0,-34.99
-91,0,0,-41
-90,0,0,-45
-89,0,0,-41
-88,0,0,-34.99
-87,0,0,-31.49
-86,0,0,-29.03
-85,0,0,-27.13
-84,0,0,-25.6
-83,0,0,-24.33
-82,0,0,-23.24
-81,0,0,-22.3
-80,0,0,-21.49
-79,0,0,-20.77
-78,0,0,-20.13
-77,0,0,-19.57
-76,0,0,-19.08
-75,0,0,-18.64
-74,0,0,-18.26
-73,0,0,-17.93
-72,0,0,-17.65
-71,0,0,-17.41
-70,0,0,-17.22
-69,0,0,-17.07
-68,0,0,-16.97
-67,0,0,-16.91
-66,0,0,-16.9
-65,0,0,-16.93
-64,0,0,-17.02
-63,0,0,-17.17
-62,0,0,-17.37
-61,0,0,-17.64
-60,0,0,-17.99
-59,0,0,-18.42
-58,0,0,-18.96
-57,0,0,-19.62
-56,0,0,-20.44
-55,0,0,-21.45
-54,0,0,-22.74
-53,0,0,-24.41
-52,0,0,-26.69
-51,0,0,-30.07
-50,0,0,-35.94
-49,0,0,-41.15
-48,0,0,-32.34
-47,0,0,-27.18
-46,0,0,-23.74
-45,0,0,-21.15
-44,0,0,-19.06
-43,0,0,-17.3
-42,0,0,-15.77
-41,0,0,-14.41
-40,0,0,-13.2
-39,0,0,-12.09
-38,0,0,-11.08
-37,0,0,-10.15
-36,0,0,-9.28
-35,0,0,-8.47
-34,0,0,-7.72
-33,0,0,-7.01
-32,0,0,-6.34
-31,0,0,-5.71
